Hoba,Iron; IVB,60000000,Found,1920,http://www.lpi.usra.edu/meteor/metbull.php?code=11890,-19.58333,17.91667,#707160
Cape York,Iron; IIIAB,58200000,Found,1818,http://www.lpi.usra.edu/meteor/metbull.php?code=5262,76.13333,-64.93333,#dbe6e7
Campo del Cielo,Iron; IAB-MG,50000000,Found,1576,http://www.lpi.usra.edu/meteor/metbull.php?code=5247,-27.46667,-60.58333,#7e806e
Canyon Diablo,Iron; IAB-MG,30000000,Found,1891,http://www.lpi.usra.edu/meteor/metbull.php?code=5257,35.05,-111.03333,#8b7158
Armanty,Iron; IIIE,28000000,Found,1898,http://www.lpi.usra.edu/meteor/metbull.php?code=2335,47,88,#aca678
Gibeon,Iron; IVA,26000000,Found,1836,http://www.lpi.usra.edu/meteor/metbull.php?code=10912,-25.5,18,#d0ae97
Chupaderos,Iron; IIIAB,24300000,Found,1852,http://www.lpi.usra.edu/meteor/metbull.php?code=5363,27,-105.1,#7f7969
Mundrabilla,Iron; IAB-ung,24000000,Found,1911,http://www.lpi.usra.edu/meteor/metbull.php?code=16852,-30.78333,127.55,#7d7f7a
Sikhote-Alin,Iron; IIAB,23000000,Fell,1947,http://www.lpi.usra.edu/meteor/metbull.php?code=23593,46.16,134.65333,#2a432c
Bacubirito,Iron; ungrouped,22000000,Found,1863,http://www.lpi.usra.edu/meteor/metbull.php?code=4919,26.2,-107.83333,#597064
Mbosi,Iron; ungrouped,16000000,Found,1930,http://www.lpi.usra.edu/meteor/metbull.php?code=15456,-9.11667,33.06667,#394f46
Willamette,Iron; IIIAB,15500000,Found,1902,http://www.lpi.usra.edu/meteor/metbull.php?code=24269,45.36667,-122.58333,#313734
Morito,Iron; IIIAB,10100000,Found,1600,http://www.lpi.usra.edu/meteor/metbull.php?code=16745,27.05,-105.43333,#9c806a
Nantan,Iron; IAB-MG,9500000,Found,1958,http://www.lpi.usra.edu/meteor/metbull.php?code=16906,25.1,107.7,#314c2f
Cranbourne,Iron; IAB-MG,8600000,Found,1854,http://www.lpi.usra.edu/meteor/metbull.php?code=5463,-38.1,145.3,#6e7254
Santa Catharina,Iron; IAB-ung,7000000,Found,1875,http://www.lpi.usra.edu/meteor/metbull.php?code=23162,-26.21667,-48.6,#526b65
Bendeg?_,Iron; IC,5360000,Found,1784,http://www.lpi.usra.edu/meteor/metbull.php?code=5015,-10.11667,-39.2,#5d6a50
Brenham,Pallasite; PMG-an,4300000,Found,1882,http://www.lpi.usra.edu/meteor/metbull.php?code=5136,37.5825,-99.16361,#74715c
Jilin,H5,4000000,Fell,1976,http://www.lpi.usra.edu/meteor/metbull.php?code=12171,44.05,126.16667,#404f42
Vaca Muerta,Mesosiderite-A1,3828000,Found,1861,http://www.lpi.usra.edu/meteor/metbull.php?code=24142,-25.75,-70.5,#786355
Toluca,Iron; IAB-sLL,3000000,Found,1776,http://www.lpi.usra.edu/meteor/metbull.php?code=24018,19.56667,-99.56667,#263323
Xifu,Iron; IAB complex,3000000,Found,2004,http://www.lpi.usra.edu/meteor/metbull.php?code=54608,36.3,120.48333,#908e86
Al Haggounia 001,Aubrite,3000000,Found,2006,http://www.lpi.usra.edu/meteor/metbull.php?code=44857,27.5,-12.5,#bca7a4
Old Woman,Iron; IIAB,2753000,Found,1976,http://www.lpi.usra.edu/meteor/metbull.php?code=18007,34.46667,-115.23333,#64624e
Wabar,Iron; IIIAB,2550000,Found,1863,http://www.lpi.usra.edu/meteor/metbull.php?code=24194,21.49972,50.47222,#837f77
Huckitta,Pallasite; PMG-an,2300000,Found,1924,http://www.lpi.usra.edu/meteor/metbull.php?code=11922,-22.36667,135.76667,#96673d
Navajo,Iron; IIAB,2184000,Found,1921,http://www.lpi.usra.edu/meteor/metbull.php?code=16926,35.33333,-109.5,#887a67
Coahuila,Iron; IIAB,2100000,Found,1837,http://www.lpi.usra.edu/meteor/metbull.php?code=5387,28.7,-102.73333,#dcc8ae
Henbury,Iron; IIIAB,2000000,Found,1931,http://www.lpi.usra.edu/meteor/metbull.php?code=11872,-24.56667,133.16667,#aa8a76
Allende,CV3,2000000,Fell,1969,http://www.lpi.usra.edu/meteor/metbull.php?code=2278,26.96667,-105.31667,#9f8d7d
Campinorte,Iron; ungrouped,2000000,Found,1992,http://www.lpi.usra.edu/meteor/metbull.php?code=52093,-14.258,-49.15917,#60705e
Santa Luzia,Iron; IIAB,1918000,Found,1921,http://www.lpi.usra.edu/meteor/metbull.php?code=23166,-16.26667,-47.95,#425339
Ghubara,L5,1750000,Found,1954,http://www.lpi.usra.edu/meteor/metbull.php?code=10911,19.22778,56.14278,#af947c
Odessa (iron),Iron; IAB-MG,1600000,Found,1922,http://www.lpi.usra.edu/meteor/metbull.php?code=17985,31.71667,-102.4,#8f836c
Gebel Kamil,Iron; ungrouped,1600000,Found,2009,http://www.lpi.usra.edu/meteor/metbull.php?code=52031,22.01833,26.08778,#dea77b
Casas Grandes,Iron; IIIAB,1545000,Found,1867,http://www.lpi.usra.edu/meteor/metbull.php?code=5285,30.4,-107.8,#89725d
Bitburg,Iron; IAB complex,1500000,Found,1805,http://www.lpi.usra.edu/meteor/metbull.php?code=5062,49.96667,6.53333,#c2c3c0
Quinn Canyon,Iron; IIIAB,1450000,Found,1908,http://www.lpi.usra.edu/meteor/metbull.php?code=22364,38.08333,-115.53333,#90856e
Charcas,Iron; IIIAB,1400000,Found,1804,http://www.lpi.usra.edu/meteor/metbull.php?code=5326,23.08333,-101.01667,#6e6f61
Santa Apolonia,Iron; IIIAB,1316000,Found,1872,http://www.lpi.usra.edu/meteor/metbull.php?code=23160,19.21667,-98.3,#44583c
Tsarev,L5,1225300,Found,1968,http://www.lpi.usra.edu/meteor/metbull.php?code=24058,48.7,45.7,#6c6657
Alkhamasin,Iron; IIAB,1200000,Found,1973,http://www.lpi.usra.edu/meteor/metbull.php?code=475,20.6,44.88333,#d4bb9a
Kouga Mountains,Iron; IIIAB,1173000,Found,1903,http://www.lpi.usra.edu/meteor/metbull.php?code=12352,-33.61667,24,#42433c
Goose Lake,Iron; IAB-sLL,1169500,Found,1938,http://www.lpi.usra.edu/meteor/metbull.php?code=10947,41.98,-120.54167,#4b4538
Murnpeowie,Iron; IC,1143000,Found,1909,http://www.lpi.usra.edu/meteor/metbull.php?code=16878,-29.58333,139.9,#a18c6b
Norton County,Aubrite,1100000,Fell,1948,http://www.lpi.usra.edu/meteor/metbull.php?code=17922,39.68333,-99.86667,#aca08b
Kunya-Urgench,H5,1100000,Fell,1998,http://www.lpi.usra.edu/meteor/metbull.php?code=12379,42.25,59.2,#6a6853
Fukang,Pallasite; PMG,1003000,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=34491,44.43333,87.63333,#b2a896
Bilibino,Iron; IIAB,1000000,Found,1981,http://www.lpi.usra.edu/meteor/metbull.php?code=5046,67.3,160.8,#596056
Los Sauces,Iron,997000,Found,1937,http://www.lpi.usra.edu/meteor/metbull.php?code=14710,-29.41667,-66.85,#9d958f
Tucson,Iron; ungrouped,975000,Found,1850,http://www.lpi.usra.edu/meteor/metbull.php?code=24061,31.85,-110.96667,#878475
Cosby's Creek,Iron; IAB-MG,960000,Found,1837,http://www.lpi.usra.edu/meteor/metbull.php?code=5450,35.78333,-83.25,#2d4232
Imilac,Pallasite; PMG,920000,Found,1822,http://www.lpi.usra.edu/meteor/metbull.php?code=12025,-24.20333,-68.80667,#c7a693
Bondoc,Mesosiderite-B4,888600,Found,1956,http://www.lpi.usra.edu/meteor/metbull.php?code=5103,13.51667,122.45,#3e5841
Santa Rosa,Iron; IC,825000,Found,1810,http://www.lpi.usra.edu/meteor/metbull.php?code=23167,5.91667,-73,#46533b
Brahin,Pallasite; PMG,823000,Found,1810,http://www.lpi.usra.edu/meteor/metbull.php?code=5130,52.5,30.33333,#264137
Red River,Iron; IIIAB,800000,Found,1808,http://www.lpi.usra.edu/meteor/metbull.php?code=22548,32,-95,#2a452b
Sardis,Iron; IAB complex,800000,Found,1940,http://www.lpi.usra.edu/meteor/metbull.php?code=23177,32.94889,-81.865,#3e4a39
Wolf Creek,Iron; IIIAB,760000,Found,1947,http://www.lpi.usra.edu/meteor/metbull.php?code=24326,-19.3,127.76667,#826554
Esquel,Pallasite; PMG,755000,Found,1951,http://www.lpi.usra.edu/meteor/metbull.php?code=10054,-42.9,-71.33333,#203327
Gladstone (iron),Iron; IAB-MG,736600,Found,1915,http://www.lpi.usra.edu/meteor/metbull.php?code=10920,-23.9,151.3,#385042
Mount Dooling,Iron; IC,734000,Found,1909,http://www.lpi.usra.edu/meteor/metbull.php?code=16771,-29.45,119.71667,#504638
Krasnojarsk,Pallasite; PMG-an,700000,Found,1749,http://www.lpi.usra.edu/meteor/metbull.php?code=12356,54.9,91.8,#2c4734
Plainview (1917),H5,700000,Found,1917,http://www.lpi.usra.edu/meteor/metbull.php?code=18841,34.11667,-101.78333,#796c58
Ngiangri,Iron,700000,Found,1983,http://www.lpi.usra.edu/meteor/metbull.php?code=16967,32.2,87.8,#164442
Davis Mountains,Iron; IIIAB,689000,Found,1903,http://www.lpi.usra.edu/meteor/metbull.php?code=6615,30.75,-104.25,#656653
Arispe,Iron; IC,683000,Found,1896,http://www.lpi.usra.edu/meteor/metbull.php?code=2332,30.33333,-109.98333,#74695b
Itapuranga,Iron; IAB-MG,628000,Found,,http://www.lpi.usra.edu/meteor/metbull.php?code=12057,-15.58333,-50.15,#343f36
La Caille,Iron; ungrouped,626000,Found,1828,http://www.lpi.usra.edu/meteor/metbull.php?code=12393,43.73333,6.78333,#47543b
Jianshi,Iron; IIIAB,600000,Fell,1890,http://www.lpi.usra.edu/meteor/metbull.php?code=12087,30.80833,109.5,#77886d
Adzhi-Bogdo (iron),Iron; IAB complex,582000,Found,1952,http://www.lpi.usra.edu/meteor/metbull.php?code=389,44.86667,95.41667,#6a6041
Long Island,L6,564000,Found,1891,http://www.lpi.usra.edu/meteor/metbull.php?code=14694,39.93333,-99.6,#575846
JaH 073,L6,550000,Found,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=12135,19.7,55.73333,#e7d3b0
Rateldraai,Iron; IIIAB,549000,Found,1909,http://www.lpi.usra.edu/meteor/metbull.php?code=22397,-28.83333,21.13333,#998673
Drum Mountains,Iron; IIIAB,529000,Found,1944,http://www.lpi.usra.edu/meteor/metbull.php?code=7733,39.5,-112.9,#847e6d
Grant,Iron; IIIAB,525000,Found,1929,http://www.lpi.usra.edu/meteor/metbull.php?code=10957,35.16667,-107.88333,#97887b
Tamentit,Iron; IIIAB,510000,Found,1864,http://www.lpi.usra.edu/meteor/metbull.php?code=23798,27.71667,-0.25,#cbaf97
Trenton,Iron; IIIAB,505000,Found,1858,http://www.lpi.usra.edu/meteor/metbull.php?code=24045,43.36667,-88.13333,#626848
Haig,Iron; IIIAB,503000,Found,1951,http://www.lpi.usra.edu/meteor/metbull.php?code=11471,-31.38333,125.63333,#977b58
Prambanan,Iron; ungrouped,500000,Found,1797,http://www.lpi.usra.edu/meteor/metbull.php?code=18884,-7.56667,110.83333,#626561
Knyahinya,L/LL5,500000,Fell,1866,http://www.lpi.usra.edu/meteor/metbull.php?code=12335,48.9,22.4,#6d8472
Ochansk,H4,500000,Fell,1887,http://www.lpi.usra.edu/meteor/metbull.php?code=17979,57.78333,55.26667,#414b5b
Boxhole,Iron; IIIAB,500000,Found,1937,http://www.lpi.usra.edu/meteor/metbull.php?code=5126,-22.61667,135.2,#956e44
El Timbu,Iron,500000,Found,1942,http://www.lpi.usra.edu/meteor/metbull.php?code=7820,-33.11667,-60.96667,#697665
Wildara,H5,500000,Found,1968,http://www.lpi.usra.edu/meteor/metbull.php?code=24265,-28.23333,120.85,#6b6158
Jepara,Pallasite; PMG,499500,Found,2008,http://www.lpi.usra.edu/meteor/metbull.php?code=53840,-6.6,110.73333,#3c4738
Saint-Aubin,Iron; IIIAB,472000,Found,1968,http://www.lpi.usra.edu/meteor/metbull.php?code=23096,48.48333,3.58333,#869078
Carbo,Iron; IID,454000,Found,1923,http://www.lpi.usra.edu/meteor/metbull.php?code=5266,29.66667,-111.5,#87775e
Etter,L5,450000,Found,1965,http://www.lpi.usra.edu/meteor/metbull.php?code=10062,35.98333,-101.9,#6c6958
SaU 001,L5,450000,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=23193,20.51667,56.66667,#e4cfb3
Wallapai,Iron; IID,430000,Found,1927,http://www.lpi.usra.edu/meteor/metbull.php?code=24206,35.8,-113.7,#a59484
Ulasitai,Discredited,430000,Found,2004,http://www.lpi.usra.edu/meteor/metbull.php?code=34492,44.95667,91.4025,#4b4238
Paragould,LL5,408000,Fell,1930,http://www.lpi.usra.edu/meteor/metbull.php?code=18101,36.06667,-90.5,#304936
